age,workclass,education,maritalstatus,occupation,relationship,race,sex,hoursperweek,country,income
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,8,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Not-in-family,White,Female,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,14,Philippines,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,15,Guatemala,LessThan50K
<18,Private,12th,Never-married,Transport-moving,Own-child,White,Male,10,?,LessThan50K
<18,Private,12th,Never-married,Farming-fishing,Own-child,White,Male,12,United-States,LessThan50K
<18,Local-gov,11th,Never-married,Prof-specialty,Own-child,White,Female,7,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,15,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Male,22,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,24,United-States,LessThan50K
<18,Private,9th,Never-married,Craft-repair,Other-relative,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,Black,Male,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Handlers-cleaners,Own-child,White,Male,15,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Male,18-21,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,10th,Married-spouse-absent,Other-service,Other-relative,White,Male,40,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,Black,Male,6,England,LessThan50K
<18,Private,11th,Never-married,Adm-clerical,Own-child,White,Male,7,United-States,LessThan50K
<18,Private,9th,Never-married,Sales,Not-in-family,White,Female,30,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Female,18-21,England,LessThan50K
<18,Private,10th,Never-married,Sales,Own-child,White,Female,15,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Other-relative,White,Male,15,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,14,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,35,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Private,12th,Never-married,Sales,Own-child,White,Female,8,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Female,16,United-States,LessThan50K
<18,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,18-21,United-States,LessThan50K
<18,Private,12th,Never-married,Adm-clerical,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Local-gov,10th,Never-married,Prof-specialty,Own-child,White,Female,10,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Female,8,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Other-relative,White,Female,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Farming-fishing,Own-child,White,Male,30,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Female,10,United-States,LessThan50K
<18,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,6,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,White,Male,32,United-States,LessThan50K
<18,Private,HS-grad,Never-married,Sales,Own-child,Black,Female,16,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Female,10,United-States,LessThan50K
<18,?,12th,Never-married,?,Own-child,Black,Male,30,United-States,LessThan50K
<18,?,12th,Never-married,?,Own-child,White,Female,8,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,14,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,15,United-States,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Other-relative,White,Male,35,United-States,LessThan50K
<18,Federal-gov,11th,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,15,United-States,LessThan50K
<18,?,10th,Never-married,?,Not-in-family,White,Female,30,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Not-in-family,White,Male,25,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
<18,?,12th,Never-married,?,Own-child,White,Male,30,United-States,LessThan50K
<18,?,7th-8th,Never-married,?,Own-child,White,Female,15,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,16,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
<18,?,HS-grad,Never-married,?,Own-child,White,Male,14,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Private,9th,Never-married,Other-service,Not-in-family,White,Male,50,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,25,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,10,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Female,32,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,12,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,12,United-States,LessThan50K
<18,Private,9th,Never-married,Other-service,Own-child,White,Male,24,United-States,LessThan50K
<18,Private,5th-6th,Never-married,Other-service,Other-relative,White,Male,48,Mexico,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,10,United-States,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,18-21,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Female,5,United-States,LessThan50K
<18,Private,9th,Never-married,Other-service,Not-in-family,White,Male,6,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Male,12,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Self-emp-not-inc,11th,Never-married,Farming-fishing,Own-child,White,Male,10,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,White,Male,16,United-States,LessThan50K
<18,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Farming-fishing,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Male,28,United-States,LessThan50K
<18,Private,11th,Never-married,Adm-clerical,Own-child,White,Male,15,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Male,18-21,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Female,30,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,5,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Male,30,United-States,LessThan50K
<18,Private,11th,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,24,United-States,LessThan50K
<18,Local-gov,9th,Never-married,Other-service,Own-child,Black,Male,9,United-States,LessThan50K
<18,Private,10th,Never-married,Sales,Own-child,White,Male,30,United-States,LessThan50K
<18,Private,10th,Never-married,Handlers-cleaners,Own-child,White,Male,24,United-States,LessThan50K
<18,Private,11th,Never-married,Adm-clerical,Own-child,White,Female,18-21,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Female,18-21,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Male,30,United-States,LessThan50K
<18,Self-emp-not-inc,10th,Never-married,Adm-clerical,Own-child,White,Male,10,United-States,LessThan50K
<18,?,12th,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Craft-repair,Own-child,White,Male,17,United-States,LessThan50K
<18,Private,10th,Never-married,Sales,Other-relative,White,Female,10,United-States,LessThan50K
<18,Private,11th,Never-married,Craft-repair,Own-child,White,Male,10,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,Black,Female,25,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,White,Female,8,United-States,LessThan50K
<18,Local-gov,11th,Never-married,Other-service,Own-child,White,Female,16,United-States,LessThan50K
<18,?,Some-college,Never-married,?,Own-child,Asian-Pac-Islander,Female,40,Philippines,LessThan50K
<18,Private,10th,Never-married,Sales,Own-child,White,Female,15,United-States,LessThan50K
<18,Self-emp-inc,11th,Never-married,Prof-specialty,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,24,United-States,LessThan50K
<18,?,11th,Never-married,?,Not-in-family,Other,Female,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,18-21,United-States,LessThan50K
<18,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,35,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Local-gov,11th,Never-married,Sales,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,12th,Never-married,Sales,Not-in-family,White,Female,10,?,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Female,16,United-States,LessThan50K
<18,Private,11th,Never-married,Farming-fishing,Own-child,White,Male,45,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,30,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Female,15,United-States,LessThan50K
<18,Local-gov,11th,Never-married,Prof-specialty,Own-child,White,Female,18-21,Puerto-Rico,LessThan50K
<18,Private,12th,Never-married,Sales,Own-child,White,Female,15,United-States,LessThan50K
<18,?,9th,Never-married,?,Own-child,Black,Male,40,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,White,Female,16,United-States,LessThan50K
<18,Private,10th,Never-married,Prof-specialty,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Sales,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,25,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,Black,Male,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Sales,Own-child,White,Female,12,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,15,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Male,15,United-States,LessThan50K
<18,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,17,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,10,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Female,8,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,25,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,12,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,10,Canada,LessThan50K
<18,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,12,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Private,9th,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,Black,Female,40,Trinadad&Tobago,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,Black,Male,16,Haiti,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Female,15,United-States,LessThan50K
<18,Private,10th,Never-married,Tech-support,Own-child,White,Male,10,United-States,LessThan50K
<18,State-gov,10th,Never-married,Farming-fishing,Own-child,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,HS-grad,Never-married,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,30,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,30,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Female,10,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,White,Male,12,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
<18,Local-gov,11th,Never-married,Adm-clerical,Own-child,White,Female,12,United-States,LessThan50K
<18,Private,10th,Never-married,Sales,Unmarried,White,Female,12,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,8,United-States,LessThan50K
<18,Private,10th,Never-married,Farming-fishing,Own-child,White,Male,40,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Female,6,United-States,LessThan50K
<18,Self-emp-inc,10th,Never-married,Other-service,Own-child,White,Male,4,United-States,LessThan50K
<18,Private,11th,Never-married,Adm-clerical,Own-child,White,Female,15,United-States,LessThan50K
<18,Private,7th-8th,Never-married,Craft-repair,Not-in-family,White,Male,45,United-States,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,12,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,Own-child,White,Male,16,United-States,LessThan50K
<18,Private,11th,Never-married,Priv-house-serv,Own-child,White,Female,9,United-States,LessThan50K
<18,?,10th,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
<18,Private,HS-grad,Never-married,Farming-fishing,Own-child,Black,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Female,7,United-States,LessThan50K
<18,Self-emp-not-inc,10th,Never-married,Other-service,Own-child,White,Female,24,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Male,25,United-States,LessThan50K
<18,Private,12th,Never-married,Sales,Own-child,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,Black,Male,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Not-in-family,White,Male,18-21,El-Salvador,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,25,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Male,18-21,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Own-child,White,Female,40,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,Own-child,White,Female,40,United-States,LessThan50K
<18,?,11th,Never-married,?,Own-child,White,Female,40,United-States,LessThan50K
<18,Private,11th,Never-married,Priv-house-serv,Own-child,White,Female,18-21,United-States,LessThan50K
