tid,attribute,correct_val
13,results,pass
13,latitude,41.98135196
13,longitude,-87.70867192
14,inspectionid,44260
14,dbaname,albany park campus/edison regional gifted ctr.
14,akaname,albany park campus/edison regional gifted ctr.
14,license,32011
14,facilitytype,school
14,risk,risk 1 (high)
14,address,4929 n sawyer st 
14,city,chicago
14,state,il
14,zip,60625
14,inspectiondate,05/12/2010
14,inspectiontype,canvass
14,results,pass
14,latitude,41.9711433
14,longitude,-87.70962725
15,inspectionid,44261
15,dbaname,walgreens #6270
15,akaname,walgreens #6270
15,license,2004388
15,facilitytype,grocery store
15,risk,risk 3 (low)
15,address,1001 w belmont ave 
15,city,chicago
15,state,il
15,zip,60657
15,inspectiondate,05/17/2010
15,inspectiontype,license re-inspection
15,results,pass
15,latitude,41.93980098
15,longitude,-87.65416109
16,inspectionid,44262
16,dbaname,new peking restaurant
16,akaname,new peking restaurant
16,license,31997
16,facilitytype,restaurant
16,risk,risk 1 (high)
16,address,3132 n broadway 
16,city,chicago
16,state,il
16,zip,60657
16,inspectiondate,06/09/2010
16,inspectiontype,canvass
16,results,pass
16,latitude,41.93864794
16,longitude,-87.64449909
17,inspectionid,48212
17,dbaname,el gran burrito
17,akaname,el gran burrito
17,license,40974
17,facilitytype,restaurant
17,risk,risk 1 (high)
17,address,5632 w north ave 
17,city,chicago
17,state,il
17,zip,60639
17,inspectiondate,01/08/2010
17,inspectiontype,complaint
17,results,pass
17,latitude,41.9094746
17,longitude,-87.76676192
18,inspectionid,48213
18,dbaname,restaurant el ranchito
18,akaname,restaurant el ranchito
18,license,1273737
18,facilitytype,restaurant
18,risk,risk 1 (high)
18,address,5959 w grand ave 
18,city,chicago
18,state,il
18,zip,60639
18,inspectiondate,01/08/2010
18,inspectiontype,complaint
18,results,pass
18,latitude,41.92042652
18,longitude,-87.775499
19,inspectionid,48214
19,dbaname,la panaderia central bakery
19,akaname,la panaderia central bakery
19,license,61169
19,facilitytype,bakery
19,risk,risk 1 (high)
19,address,4348 w armitage ave 
19,city,chicago
19,state,il
19,zip,60639
19,inspectiondate,01/11/2010
19,inspectiontype,complaint
19,results,pass
19,latitude,41.91715968
19,longitude,-87.73587246
20,inspectionid,48215
20,dbaname,golden crown restaurant
20,akaname,golden crown restaurant
20,license,2013539
20,facilitytype,restaurant
20,risk,risk 1 (high)
20,address,2341 n narragansett ave 
20,city,chicago
20,state,il
20,zip,60639
20,inspectiondate,01/11/2010
20,inspectiontype,license re-inspection
20,results,fail
20,latitude,41.92309768
20,longitude,-87.78527866
21,inspectionid,48216
21,dbaname,hanson park
21,akaname,hanson park
21,license,24461
21,facilitytype,school
21,risk,risk 1 (high)
21,address,5411 w fullerton ave 
21,city,chicago
21,state,il
21,zip,60639
21,inspectiondate,01/13/2010
21,inspectiontype,canvass
21,results,pass
21,latitude,41.92392771
21,longitude,-87.76152094
22,inspectionid,48217
22,dbaname,hanson park branch
22,akaname,hanson park branch
22,license,24462
22,facilitytype,school
22,risk,risk 1 (high)
22,address,2318 n lorel st 
22,city,chicago
22,state,il
22,zip,60639
22,inspectiondate,01/13/2010
22,inspectiontype,canvass
22,results,pass
22,latitude,41.92283114
22,longitude,-87.75994375
23,inspectionid,48218
23,dbaname,cielito lindo restaurant inc
23,akaname,cielito lindo restaurant inc
23,license,1336088
23,facilitytype,restaurant
23,risk,risk 1 (high)
23,address,5344 w fullerton ave 
23,city,chicago
23,state,il
23,zip,60639
23,inspectiondate,01/13/2010
23,inspectiontype,canvass
23,results,pass
23,latitude,41.92416136
23,longitude,-87.76045394
24,inspectionid,48219
24,dbaname,el taconazo la fiesta
24,akaname,el taconazo la fiesta
24,license,1937437
24,facilitytype,restaurant
24,risk,risk 1 (high)
24,address,2701 n central ave 
24,city,chicago
24,state,il
24,zip,60639
24,inspectiondate,01/25/2010
24,inspectiontype,canvass
24,results,pass
24,latitude,41.92950116
24,longitude,-87.76603642
25,inspectionid,48220
25,dbaname,dr. jorge prieto school
25,akaname,dr. jorge prieto school
25,license,1554454
25,facilitytype,school
25,risk,risk 1 (high)
25,address,2231 n central ave 
25,city,chicago
25,state,il
25,zip,60639
25,inspectiondate,01/26/2010
25,inspectiontype,canvass
25,results,pass
25,latitude,41.92131717
25,longitude,-87.7657438
26,inspectionid,48221
26,dbaname,taqueria la paz
26,akaname,taqueria la paz
26,license,1953320
26,facilitytype,restaurant
26,risk,risk 1 (high)
26,address,5134 w grand ave 
26,city,chicago
26,state,il
26,zip,60639
26,inspectiondate,01/26/2010
26,inspectiontype,canvass
26,results,fail
26,latitude,41.91697889
26,longitude,-87.75474306
27,inspectionid,48222
27,dbaname,burbank elementary school
27,akaname,burbank elementary school
27,license,22401
27,facilitytype,school
27,risk,risk 1 (high)
27,address,2035 n mobile 
27,city,chicago
27,state,il
27,zip,60639
27,inspectiondate,01/28/2010
27,inspectiontype,canvass
27,results,fail
27,latitude,41.91759334
27,longitude,-87.78266267
28,inspectionid,48223
28,dbaname,el guanaco 2
28,akaname,el guanaco 2
28,license,1514780
28,facilitytype,restaurant
28,risk,risk 1 (high)
28,address,6345 w grand ave 
28,city,chicago
28,state,il
28,zip,60639
28,inspectiondate,01/28/2010
28,inspectiontype,canvass
28,results,pass
28,latitude,41.92226642
28,longitude,-87.78461492
29,inspectionid,48224
29,dbaname,joe's barbecue & fish # 2
29,akaname,joe's barbecue & fish # 2
29,license,2017606
29,facilitytype,restaurant
29,risk,risk 1 (high)
29,address,5931 w north ave 
29,city,chicago
29,state,il
29,zip,60639
29,inspectiondate,02/08/2010
29,inspectiontype,license
29,results,fail
29,latitude,41.90915796
29,longitude,-87.77445019
30,inspectionid,48225
30,dbaname,shriners hospitals for children
30,akaname,shriners hospitals for children
30,license,15783
30,facilitytype,hospital
30,risk,risk 1 (high)
30,address,2211 n oak park ave 
30,city,chicago
30,state,il
30,zip,60707
30,inspectiondate,03/02/2010
30,inspectiontype,canvass
30,results,pass
30,latitude,41.92033617
30,longitude,-87.7949943
31,inspectionid,48226
31,dbaname,shriners hospitals for children
31,akaname,shriners hospitals for children
31,license,15784
31,facilitytype,hospital
31,risk,risk 1 (high)
31,address,2211 n oak park ave 
31,city,chicago
31,state,il
31,zip,60707
31,inspectiondate,03/02/2010
31,inspectiontype,canvass
31,results,pass
31,latitude,41.92033617
31,longitude,-87.7949943
32,inspectionid,48227
32,dbaname,mc donald's
32,akaname,mc donald's
32,license,1933100
32,facilitytype,restaurant
32,risk,risk 2 (medium)
32,address,5133 w north ave 
32,city,chicago
32,state,il
32,zip,60639
32,inspectiondate,03/10/2010
32,inspectiontype,canvass
32,results,pass
32,latitude,41.90940466
32,longitude,-87.75476387
33,inspectionid,48228
33,dbaname,taste of joi restaurant cafe b
33,akaname,taste of joi restaurant cafe b
33,license,2021735
33,facilitytype,restaurant
33,risk,risk 1 (high)
33,address,5933 w north ave 
33,city,chicago
33,state,il
33,zip,60639
33,inspectiondate,03/19/2010
33,inspectiontype,license re-inspection
33,results,pass
33,latitude,41.909157
33,longitude,-87.77452778
34,inspectionid,48229
34,dbaname,las islas marias
34,akaname,las islas marias
34,license,1095992
34,facilitytype,restaurant
34,risk,risk 1 (high)
34,address,4770 w grand ave 
34,city,chicago
34,state,il
34,zip,60639
34,inspectiondate,03/19/2010
34,inspectiontype,canvass
34,results,pass
34,latitude,41.91399921
34,longitude,-87.74586369
35,inspectionid,48230
35,dbaname,pizzaro's
35,akaname,pizzaro's
35,license,2032324
35,facilitytype,restaurant
35,risk,risk 1 (high)
35,address,6924 w grand ave 
35,city,chicago
35,state,il
35,zip,60707
35,inspectiondate,05/06/2010
35,inspectiontype,license
35,results,fail
35,latitude,41.92367998
35,longitude,-87.79876127
36,inspectionid,52234
36,dbaname,cafe 608
36,akaname,cafe 608
36,license,2013328
36,facilitytype,restaurant
36,risk,risk 1 (high)
36,address,608 w barry ave 
36,city,chicago
36,state,il
36,zip,60657
36,inspectiondate,01/04/2010
36,inspectiontype,license re-inspection
36,results,pass
36,latitude,41.93800688
36,longitude,-87.64475457
37,inspectionid,52235
37,dbaname,lake view (h/s)
37,akaname,lake view (h/s)
37,license,46211
37,facilitytype,school
37,risk,risk 1 (high)
37,address,4015 n ashland ave 
37,city,chicago
37,state,il
37,zip,60613
37,inspectiondate,01/22/2010
37,inspectiontype,canvass
37,results,fail
37,latitude,41.95478361
37,longitude,-87.66891643
38,inspectionid,52236
38,dbaname,lakeview subway
38,akaname,lakeview subway
38,license,1305059
38,facilitytype,restaurant
38,risk,risk 1 (high)
38,address,3952 n ashland ave 
38,city,chicago
38,state,il
38,zip,60613
38,inspectiondate,01/22/2010
38,inspectiontype,canvass re-inspection
38,results,pass w/ conditions
38,latitude,41.953978
38,longitude,-87.66918631
39,inspectionid,52237
39,dbaname,disney magnet
39,akaname,disney magnet
39,license,29401
39,facilitytype,school
39,risk,risk 1 (high)
39,address,4140 n marine dr 
39,city,chicago
39,state,il
39,zip,60613
39,inspectiondate,02/18/2010
39,inspectiontype,canvass
39,results,fail
39,latitude,41.95680712
39,longitude,-87.6461175
40,inspectionid,52238
40,dbaname,disney magnet
40,akaname,disney magnet
40,license,29401
40,facilitytype,school
40,risk,risk 1 (high)
40,address,4140 n marine dr 
40,city,chicago
40,state,il
40,zip,60613
40,inspectiondate,03/05/2010
40,inspectiontype,consultation
40,results,fail
40,latitude,41.95680712
40,longitude,-87.6461175
41,inspectionid,52239
41,dbaname,disney magnet
41,akaname,disney magnet
41,license,29401
41,facilitytype,school
41,risk,risk 1 (high)
41,address,4140 n marine dr 
41,city,chicago
41,state,il
41,zip,60613
41,inspectiondate,03/09/2010
41,inspectiontype,canvass re-inspection
41,results,pass
41,latitude,41.95680712
41,longitude,-87.6461175
42,inspectionid,52240
42,dbaname,lakeside boarding home
42,akaname,lakeside boarding home
42,license,1515987
42,facilitytype,long term care
42,risk,risk 1 (high)
42,address,6330 n sheridan rd 
42,city,chicago
42,state,il
42,zip,60660
42,inspectiondate,03/10/2010
42,inspectiontype,canvass re-inspection
42,results,fail
42,latitude,41.99725812
42,longitude,-87.65575405
43,inspectionid,52241
43,dbaname,eden  supportive  living
43,akaname,eden  supportive  living
43,license,74931
43,facilitytype,long term care
43,risk,risk 1 (high)
43,address,4131 n sheridan rd 
43,city,chicago
43,state,il
43,zip,60613
43,inspectiondate,03/19/2010
43,inspectiontype,canvass re-inspection
43,results,pass
43,latitude,41.95746872
43,longitude,-87.65448098
44,inspectionid,52242
44,dbaname,inter-american
44,akaname,inter-american
44,license,29191
44,facilitytype,school
44,risk,risk 1 (high)
44,address,851 w waveland 
44,city,chicago
44,state,il
44,zip,60613
44,inspectiondate,03/23/2010
44,inspectiontype,canvass
44,results,pass w/ conditions
44,latitude,41.94897646
44,longitude,-87.65153745
45,inspectionid,52243
45,dbaname,popeyes #2857
45,akaname,popeyes #2857
45,license,12630
45,facilitytype,restaurant
45,risk,risk 1 (high)
45,address,1600 w irving park rd 
45,city,chicago
45,state,il
45,zip,60613
45,inspectiondate,03/31/2010
45,inspectiontype,canvass
45,results,pass w/ conditions
45,latitude,41.9543993
45,longitude,-87.66911287
46,inspectionid,52244
46,dbaname,peoples church of chicago
46,akaname,peoples church of chicago
46,license,1255107
46,facilitytype,soup kitchen
46,risk,risk 1 (high)
46,address,941 w lawrence ave 
46,city,chicago
46,state,il
46,zip,60640
46,inspectiondate,04/14/2010
46,inspectiontype,complaint
46,results,fail
46,latitude,41.96899004
46,longitude,-87.65405445
47,inspectionid,52245
47,dbaname,i-cafe
47,akaname,i-cafe
47,license,1767227
47,facilitytype,restaurant
47,risk,risk 1 (high)
47,address,1814 w irving park rd 
47,city,chicago
47,state,il
47,zip,60613
47,inspectiondate,04/16/2010
47,inspectiontype,canvass
47,results,fail
47,latitude,41.95431724
47,longitude,-87.67483357
48,inspectionid,52246
48,dbaname,children's creative center
48,akaname,children's creative center
48,license,77784
48,facilitytype,daycare (2 - 6 years)
48,risk,risk 1 (high)
48,address,1911 w irving park rd 
48,city,chicago
48,state,il
48,zip,60613
48,inspectiondate,04/19/2010
48,inspectiontype,license
48,results,fail
48,latitude,41.95407205
48,longitude,-87.67682369
49,inspectionid,52247
49,dbaname,peoples church of chicago
49,akaname,peoples church of chicago
49,license,1255107
49,facilitytype,soup kitchen
49,risk,risk 1 (high)
49,address,941 w lawrence ave 
49,city,chicago
49,state,il
49,zip,60640
49,inspectiondate,04/21/2010
49,inspectiontype,complaint re-inspection
49,results,pass
49,latitude,41.96899004
49,longitude,-87.65405445
50,inspectionid,52248
50,dbaname,apple tree learning center
50,akaname,apple tree learning center
50,license,66696
50,facilitytype,daycare (2 - 6 years)
50,risk,risk 1 (high)
50,address,1733 w irving park rd 
50,city,chicago
50,state,il
50,zip,60613
50,inspectiondate,04/23/2010
50,inspectiontype,license
50,results,pass
50,latitude,41.95412784
50,longitude,-87.67277541
51,inspectionid,52249
51,dbaname,park view montessori school #3
51,akaname,park view montessori school #3
51,license,44217
51,facilitytype,daycare (2 - 6 years)
51,risk,risk 1 (high)
51,address,640 w irving park rd 
51,city,chicago
51,state,il
51,zip,60613
51,inspectiondate,04/26/2010
51,inspectiontype,license
51,results,fail
51,latitude,41.95472485
51,longitude,-87.64658231
52,inspectionid,52250
52,dbaname,kc's academy of early childhood
52,akaname,kc's academy of early childhood
52,license,1650257
52,facilitytype,daycare (2 - 6 years)
52,risk,risk 1 (high)
52,address,835-837 w sheridan rd 
52,city,chicago
52,state,il
52,zip,60613
52,inspectiondate,04/27/2010
52,inspectiontype,license re-inspection
52,results,pass
52,latitude,41.95261657
52,longitude,-87.65104544
53,inspectionid,52251
53,dbaname,orange garden restaurant llc
53,akaname,orange garden restaurant llc
53,license,1942679
53,facilitytype,restaurant
53,risk,risk 1 (high)
53,address,1942 w irving park rd 
53,city,chicago
53,state,il
53,zip,60613
53,inspectiondate,04/28/2010
53,inspectiontype,canvass
53,results,fail
53,latitude,41.95427602
53,longitude,-87.6780333
54,inspectionid,52253
54,dbaname,orange garden restaurant llc
54,akaname,orange garden restaurant llc
54,license,1942679
54,facilitytype,restaurant
54,risk,risk 1 (high)
54,address,1942 w irving park rd 
54,city,chicago
54,state,il
54,zip,60613
54,inspectiondate,05/05/2010
54,inspectiontype,canvass re-inspection
54,results,pass
54,latitude,41.95427602
54,longitude,-87.6780333
55,inspectionid,52254
55,dbaname,red brick
55,akaname,red brick
55,license,1985321
55,facilitytype,restaurant
55,risk,risk 1 (high)
55,address,1938 w irving park rd 
55,city,chicago
55,state,il
55,zip,60613
55,inspectiondate,05/05/2010
55,inspectiontype,canvass
55,results,pass
55,latitude,41.95427796
55,longitude,-87.67788273
56,inspectionid,52255
56,dbaname,red brick
56,akaname,red brick
56,license,1985322
56,facilitytype,restaurant
56,risk,risk 3 (low)
56,address,1938 irving park rd 
56,city,chicago
56,state,il
56,zip,60613
56,inspectiondate,05/05/2010
56,inspectiontype,canvass
56,results,pass
56,latitude,41.95427796
56,longitude,-87.67788273
57,inspectionid,52256
57,dbaname,orange garden restaurant llc
57,akaname,orange garden restaurant llc
57,license,1942679
57,facilitytype,restaurant
57,risk,risk 1 (high)
57,address,1942 w irving park rd 
57,city,chicago
57,state,il
57,zip,60613
57,inspectiondate,05/11/2010
57,inspectiontype,suspected food poisoning
57,results,fail
57,latitude,41.95427602
57,longitude,-87.6780333
58,inspectionid,52257
58,dbaname,passages  charter school
58,akaname,passages  charter school
58,license,66191
58,facilitytype,school
58,risk,risk 1 (high)
58,address,1643 w bryn mawr ave 
58,city,chicago
58,state,il
58,zip,60660
58,inspectiondate,05/12/2010
58,inspectiontype,canvass
58,results,pass
58,latitude,41.98334408
58,longitude,-87.6711545
59,inspectionid,52258
59,dbaname,stockton
59,akaname,stockton
59,license,25501
59,facilitytype,school
59,risk,risk 1 (high)
59,address,4420 n beacon (1338w) 
59,city,chicago
59,state,il
59,zip,60640
59,inspectiondate,05/18/2010
59,inspectiontype,canvass
59,results,fail
59,latitude,41.9623189
59,longitude,-87.66388983
60,inspectionid,52259
60,dbaname,kit kat lounge and restaurant
60,akaname,kit kat lounge and restaurant
60,license,1044305
60,facilitytype,restaurant
60,risk,risk 1 (high)
60,address,3700 n halsted st 
60,city,chicago
60,state,il
60,zip,60613
60,inspectiondate,05/18/2010
60,inspectiontype,canvass
60,results,pass w/ conditions
60,latitude,41.94914734
60,longitude,-87.64968984
61,inspectionid,52260
61,dbaname,katerina's street of dreams
61,akaname,katerina's street of dreams
61,license,79417
61,facilitytype,restaurant
61,risk,risk 1 (high)
61,address,1920 w irving park rd 
61,city,chicago
61,state,il
61,zip,60613
61,inspectiondate,05/21/2010
61,inspectiontype,canvass
61,results,pass
61,latitude,41.9542867
61,longitude,-87.67720518
62,inspectionid,52261
62,dbaname,oakwood '83
62,akaname,oakwood '83
62,license,6282
62,facilitytype,restaurant
62,risk,risk 1 (high)
62,address,1959 w montrose ave 
62,city,chicago
62,state,il
62,zip,60613
62,inspectiondate,05/24/2010
62,inspectiontype,canvass re-inspection
62,results,pass
62,latitude,41.96135532
62,longitude,-87.67830516
63,inspectionid,52262
63,dbaname,stockton
63,akaname,stockton
63,license,25501
63,facilitytype,school
63,risk,risk 1 (high)
63,address,4420 n beacon (1338w) 
63,city,chicago
63,state,il
63,zip,60640
63,inspectiondate,05/26/2010
63,inspectiontype,canvass re-inspection
63,results,pass
63,latitude,41.9623189
63,longitude,-87.66388983
64,inspectionid,52263
64,dbaname,the  piggery
64,akaname,the  piggery
64,license,1800521
64,facilitytype,restaurant
64,risk,risk 1 (high)
64,address,1625 w irving park rd 
64,city,chicago
64,state,il
64,zip,60613
64,inspectiondate,06/09/2010
64,inspectiontype,canvass
64,results,pass w/ conditions
64,latitude,41.95416537
64,longitude,-87.67012784
65,inspectionid,52264
65,dbaname,young's restaurant
65,akaname,young's restaurant
65,license,1356070
65,facilitytype,restaurant
65,risk,risk 1 (high)
65,address,3949 n ashland ave 
65,city,chicago
65,state,il
65,zip,60613
65,inspectiondate,06/10/2010
65,inspectiontype,complaint
65,results,pass w/ conditions
65,latitude,41.95387291
65,longitude,-87.66888934
66,inspectionid,52265
66,dbaname,filipino american council
66,akaname,filipino american council
66,license,39977
66,facilitytype,restaurant
66,risk,risk 2 (medium)
66,address,1332 w irving park rd 
66,city,chicago
66,state,il
66,zip,60613
66,inspectiondate,06/11/2010
66,inspectiontype,complaint
66,results,pass
66,latitude,41.95447295
66,longitude,-87.66358644
67,inspectionid,52266
67,dbaname,rizal center(golden diner)
67,akaname,rizal center(golden diner)
67,license,2032636
67,facilitytype,golden diner
67,risk,risk 1 (high)
67,address,1332 w irving park rd 
67,city,chicago
67,state,il
67,zip,60613
67,inspectiondate,06/11/2010
67,inspectiontype,canvass
67,results,pass
67,latitude,41.95447295
67,longitude,-87.66358644
68,inspectionid,52267
68,dbaname,sarpinos pizzeria
68,akaname,sarpinos pizzeria
68,license,1899258
68,facilitytype,restaurant
68,risk,risk 2 (medium)
68,address,1435 w montrose ave 
68,city,chicago
68,state,il
68,zip,60613
68,inspectiondate,06/24/2010
68,inspectiontype,short form complaint
68,results,pass
68,latitude,41.96152004
68,longitude,-87.66634371
69,inspectionid,52268
69,dbaname,chicago montessori
69,akaname,chicago montessori
69,license,1845360
69,facilitytype,daycare (2 - 6 years)
69,risk,risk 1 (high)
69,address,1713 w cullom ave 
69,city,chicago
69,state,il
69,zip,60613
69,inspectiondate,06/30/2010
69,inspectiontype,canvass re-inspection
69,results,pass
69,latitude,41.95962989
69,longitude,-87.67135903
70,inspectionid,52269
70,dbaname,holiday club
70,akaname,holiday club
70,license,1352227
70,facilitytype,restaurant
70,risk,risk 1 (high)
70,address,4000 n sheridan rd 
70,city,chicago
70,state,il
70,zip,60613
70,inspectiondate,06/30/2010
70,inspectiontype,canvass
70,results,fail
70,latitude,41.95453269
70,longitude,-87.65469302
71,inspectionid,52270
71,dbaname,chicago's pizza
71,akaname,chicago's pizza
71,license,1336958
71,facilitytype,restaurant
71,risk,risk 1 (high)
71,address,1919-1921 w montrose ave 
71,city,chicago
71,state,il
71,zip,60613
71,inspectiondate,07/01/2010
71,inspectiontype,canvass
71,results,pass
71,latitude,41.96137293
71,longitude,-87.67682523
72,inspectionid,52271
72,dbaname,dollop  coffee co.
72,akaname,dollop  coffee co.
72,license,1542300
72,facilitytype,restaurant
72,risk,risk 2 (medium)
72,address,4181 n clarendon ave 
72,city,chicago
72,state,il
72,zip,60613
72,inspectiondate,07/07/2010
72,inspectiontype,canvass
72,results,pass w/ conditions
72,latitude,41.95794015
72,longitude,-87.64965206
73,inspectionid,52272
73,dbaname,holiday club
73,akaname,holiday club
73,license,1352227
73,facilitytype,restaurant
73,risk,risk 1 (high)
73,address,4000 n sheridan rd 
73,city,chicago
73,state,il
73,zip,60613
73,inspectiondate,07/08/2010
73,inspectiontype,canvass re-inspection
73,results,pass
73,latitude,41.95453269
73,longitude,-87.65469302
74,inspectionid,54212
74,dbaname,dons pizza & grill
74,akaname,dons pizza & grill
74,license,1992130
74,facilitytype,restaurant
74,risk,risk 1 (high)
74,address,5915 w division st 
74,city,chicago
74,state,il
74,zip,60651
74,inspectiondate,01/05/2010
74,inspectiontype,complaint
74,results,pass
74,latitude,41.90191359
74,longitude,-87.77363179
75,inspectionid,54213
75,dbaname,sunset liquors
75,akaname,sunset liquors
75,license,13541
75,facilitytype,grocery store
75,risk,risk 3 (low)
75,address,5921 w division st 
75,city,chicago
75,state,il
75,zip,60651
75,inspectiondate,01/05/2010
75,inspectiontype,canvass
75,results,pass
75,latitude,41.90190966
75,longitude,-87.77390477
76,inspectionid,54214
76,dbaname,dunkin donuts / baskin robbins
76,akaname,dunkin donuts / baskin robbins
76,license,1649847
76,facilitytype,restaurant
76,risk,risk 2 (medium)
76,address,800 n kedzie ave 
76,city,chicago
76,state,il
76,zip,60651
76,inspectiondate,01/06/2010
76,inspectiontype,canvass
76,results,pass w/ conditions
76,latitude,41.89561531
76,longitude,-87.70670533
77,inspectionid,54215
77,dbaname,j & j fish
77,akaname,j & j fish
77,license,1194275
77,facilitytype,restaurant
77,risk,risk 2 (medium)
77,address,800 n kedzie ave 
77,city,chicago
77,state,il
77,zip,60651
77,inspectiondate,01/06/2010
77,inspectiontype,complaint
77,results,pass
77,latitude,41.89561531
77,longitude,-87.70670533
78,inspectionid,54216
78,dbaname,blue sharks
78,akaname,blue sharks
78,license,1974637
78,facilitytype,restaurant
78,risk,risk 2 (medium)
78,address,3450 w chicago ave 
78,city,chicago
78,state,il
78,zip,60651
78,inspectiondate,01/06/2010
78,inspectiontype,complaint
78,results,pass w/ conditions
78,latitude,41.89559733
78,longitude,-87.71344867
79,inspectionid,54217
79,dbaname,barney's pizza
79,akaname,barney's pizza
79,license,1742764
79,facilitytype,restaurant
79,risk,risk 1 (high)
79,address,5648 w chicago ave 
79,city,chicago
79,state,il
79,zip,60651
79,inspectiondate,01/07/2010
79,inspectiontype,complaint
79,results,fail
79,latitude,41.89493601
79,longitude,-87.76732423
80,inspectionid,54218
80,dbaname,happy dog avenue
80,akaname,happy dog avenue
80,license,1819281
80,facilitytype,restaurant
80,risk,risk 1 (high)
80,address,5614 w chicago ave 
80,city,chicago
80,state,il
80,zip,60651
80,inspectiondate,01/07/2010
80,inspectiontype,canvass
80,results,pass
80,latitude,41.89495336
80,longitude,-87.76606263
