inspectionid,dbaname,akaname,license,facilitytype,risk,address,city,state,zip,inspectiondate,inspectiontype,results,latitude,longitude,location
44260,albany park campus/edison regional gifted ctr.,albany park campus/edison regional gifted ctr.,32011.0,school,risk 1 (high),4929 n sawyer st ,chicago,il,60625.0,05/12/2010,canvass,pass,41.971143299999994,-87.70962725,"(41.97114330330374, -87.70962724814486)"
44261,walgreens #6270,walgreens #6270,2004388.0,grocery store,risk 3 (low),1001 w belmont ave ,chicago,il,60657.0,05/17/2010,license re-inspection,pass,41.93980098,-87.65416109,"(41.93980098406448, -87.65416108613296)"
44262,new peking restaurant,new peking restaurant,31997.0,restaurant,risk 1 (high),3132 n broadway ,chicago,il,60657.0,06/09/2010,canvass,pass,41.93864794,-87.64449909,"(41.93864794215576, -87.6444990872332)"
48212,el gran burrito,el gran burrito,40974.0,restaurant,risk 1 (high),5632 w north ave ,chicago,il,60639.0,01/08/2010,complaint,pass,41.9094746,-87.76676192,"(41.90947459952888, -87.76676192189315)"
48213,restaurant el ranchito,restaurant el ranchito,1273737.0,restaurant,risk 1 (high),5959 w grand ave ,chicago,il,60639.0,01/08/2010,complaint,pass,41.92042652,-87.775499,"(41.92042651834003, -87.77549900214635)"
48214,la panaderia central bakery,la panaderia central bakery,61169.0,bakery,risk 1 (high),4348 w armitage ave ,chicago,il,60639.0,01/11/2010,complaint,pass,41.91715968,-87.73587246,"(41.91715967553801, -87.7358724596387)"
48215,golden crown restaurant,golden crown restaurant,2013539.0,restaurant,risk 1 (high),2341 n narragansett ave ,chicago,il,60639.0,01/11/2010,license re-inspection,fail,41.92309768,-87.78527866,"(41.923097678207924, -87.78527865943148)"
48216,hanson park,hanson park,24461.0,school,risk 1 (high),5411 w fullerton ave ,chicago,il,60639.0,01/13/2010,canvass,pass,41.92392771,-87.76152094,"(41.92392770522664, -87.76152094466592)"
48217,hanson park branch,hanson park branch,24462.0,school,risk 1 (high),2318 n lorel st ,chicago,il,60639.0,01/13/2010,canvass,pass,41.92283114,-87.75994375,"(41.922831144138776, -87.75994374773492)"
48218,cielito lindo restaurant inc,cielito lindo restaurant inc,1336088.0,restaurant,risk 1 (high),5344 w fullerton ave ,chicago,il,60639.0,01/13/2010,canvass,pass,41.92416136,-87.76045394,"(41.92416135745671, -87.76045393873316)"
48219,taqueria la fiesta,el taconazo la fiesta,1937437.0,restaurant,risk 1 (high),2701 n central ave ,chicago,il,60639.0,01/25/2010,canvass,pass,41.92950116,-87.76603642,"(41.92950115830327, -87.76603641513287)"
48220,jorge prieto,dr. jorge prieto school,26771.0,school,risk 1 (high),2231 n central ave ,chicago,il,60639.0,01/26/2010,canvass,pass,41.92131717,-87.7657438,"(41.92131716931634, -87.76574379790944)"
48221,taqueria la paz,taqueria la paz,1953320.0,restaurant,risk 1 (high),5134 w grand ave ,chicago,il,60639.0,01/26/2010,canvass,fail,41.91697889,-87.75474306,"(41.91697889250269, -87.7547430627492)"
48222,burbank,burbank elementary school,22401.0,school,risk 1 (high),2035 n mobile ,chicago,il,60639.0,01/28/2010,canvass,fail,41.91759334,-87.78266267,"(41.91759334051134, -87.78266266765927)"
48223,el guanaco 2,el guanaco 2,1514780.0,restaurant,risk 1 (high),6345 w grand ave ,chicago,il,60639.0,01/28/2010,canvass,pass,41.92226642,-87.78461492,"(41.92226642324232, -87.78461492064997)"
48224,joe's barbecue & fish # 2,joe's barbecue & fish # 2,2017606.0,restaurant,risk 1 (high),5931 w north ave ,chicago,il,60639.0,02/08/2010,license,fail,41.90915796,-87.77445019,"(41.90915795561416, -87.77445018724043)"
48225,shriners hospitals for children,shriners hospitals for children,15783.0,hospital,risk 1 (high),2211 n oak park ave ,chicago,il,60707.0,03/02/2010,canvass,pass,41.92033617,-87.7949943,"(41.920336171536384, -87.7949943024895)"
48226,shriners hospitals for children,shriners hospitals for children,15784.0,hospital,risk 1 (high),2211 n oak park ave ,chicago,il,60707.0,03/02/2010,canvass,pass,41.92033617,-87.7949943,"(41.920336171536384, -87.7949943024895)"
48227,mc donald's,mc donald's,1933100.0,restaurant,risk 2 (medium),5133 w north ave ,chicago,il,60639.0,03/10/2010,canvass,pass,41.90940466,-87.75476387,"(41.909404662965976, -87.75476387362707)"
48228,taste of joi restaurant cafe b,taste  of joi restaurant,2021735.0,restaurant,risk 1 (high),5933 w north ave ,chicago,il,60639.0,03/19/2010,license re-inspection,pass,41.909157,-87.77452778,"(41.90915699594466, -87.77452778151748)"
48229,las islas marias,las islas marias,1095992.0,restaurant,risk 1 (high),4770 w grand ave ,chicago,il,60639.0,03/19/2010,canvass,pass,41.91399921,-87.74586369,"(41.91399920930635, -87.74586369218258)"
48230,pizzaro's,pizzaro's,2032324.0,restaurant,risk 1 (high),6924 w grand ave ,chicago,il,60707.0,05/06/2010,license,fail,41.92367998,-87.79876127,"(41.92367997663243, -87.79876127470351)"
52234,cafe 608,cafe 608,2013328.0,restaurant,risk 1 (high),608 w barry ave ,chicago,il,60657.0,01/04/2010,license re-inspection,pass,41.93800688,-87.64475457,"(41.938006880423615, -87.6447545707008)"
52235,lake view (h/s),lake view (h/s),46211.0,school,risk 1 (high),4015 n ashland ave ,chicago,il,60613.0,01/22/2010,canvass,fail,41.95478361,-87.66891643,"(41.95478361382229, -87.66891642506774)"
52236,lakeview subway,lakeview subway,1305059.0,restaurant,risk 1 (high),3952 n ashland ave ,chicago,il,60613.0,01/22/2010,canvass re-inspection,pass w/ conditions,41.953978,-87.66918631,"(41.95397799588343, -87.6691863077267)"
52237,disney magnet,disney magnet,29401.0,school,risk 1 (high),4140 n marine dr ,chicago,il,60613.0,02/18/2010,canvass,fail,41.95680712,-87.6461175,"(41.95680712260342, -87.64611750224417)"
52238,disney magnet,disney magnet,29401.0,school,risk 1 (high),4140 n marine dr ,chicago,il,60613.0,03/05/2010,consultation,fail,41.95680712,-87.6461175,"(41.95680712260342, -87.64611750224417)"
52239,disney magnet,disney magnet,29401.0,school,risk 1 (high),4140 n marine dr ,chicago,il,60613.0,03/09/2010,canvass re-inspection,pass,41.95680712,-87.6461175,"(41.95680712260342, -87.64611750224417)"
52240,lakeside boarding home,lakeside boarding home,1515987.0,long term care,risk 1 (high),6330 n sheridan rd ,chicago,il,60660.0,03/10/2010,canvass re-inspection,fail,41.99725812,-87.65575405,"(41.997258119649466, -87.65575404914736)"
52241,eden  supportive  living,eden  supportive  living,74931.0,long term care,risk 1 (high),4131 n sheridan rd ,chicago,il,60613.0,03/19/2010,canvass re-inspection,pass,41.95746872,-87.65448098,"(41.95746871836848, -87.6544809843631)"
52242,inter-american,inter-american,29191.0,school,risk 1 (high),851 w waveland ,chicago,il,60613.0,03/23/2010,canvass,pass w/ conditions,41.94897646,-87.65153745,"(41.948976458366346, -87.65153745077276)"
52243,popeyes #2857,popeyes,12630.0,restaurant,risk 1 (high),1600 w irving park rd ,chicago,il,60613.0,03/31/2010,canvass,pass w/ conditions,41.9543993,-87.66911287,"(41.95439930370348, -87.66911286543267)"
52244,peoples church of chicago,peoples church of chicago,0.0,soup kitchen,risk 1 (high),941 w lawrence ave ,chicago,il,60640.0,04/14/2010,complaint,fail,41.96899004,-87.65405445,"(41.968990042026846, -87.65405444663996)"
52245,i-cafe,i-cafe,1767227.0,restaurant,risk 1 (high),1814 w irving park rd ,chicago,il,60613.0,04/16/2010,canvass,fail,41.95431724,-87.67483357,"(41.954317240426086, -87.67483356699346)"
52246,"children's creative center, inc.","children's creative center, inc.",77784.0,daycare (2 - 6 years),risk 1 (high),1911 w irving park rd ,chicago,il,60613.0,04/19/2010,license,fail,41.95407205,-87.67682369,"(41.954072048740024, -87.67682369308265)"
52247,peoples church of chicago,peoples church of chicago,0.0,soup kitchen,risk 1 (high),941 w lawrence ave ,chicago,il,60640.0,04/21/2010,complaint re-inspection,pass,41.96899004,-87.65405445,"(41.968990042026846, -87.65405444663996)"
52248,apple tree learning center,apple tree learning center,66696.0,daycare (2 - 6 years),risk 1 (high),1733 w irving park rd ,chicago,il,60613.0,04/23/2010,license,pass,41.95412784,-87.67277541,"(41.95412783872086, -87.67277541396327)"
52249,park view montessori school #3,park view montessori school #3,44217.0,daycare (2 - 6 years),risk 1 (high),640 w irving park rd ,chicago,il,60613.0,04/26/2010,license,fail,41.95472485,-87.64658231,"(41.95472485219229, -87.6465823053273)"
52250,kc's academy of early childhood,kc's academy of early childhood,1650257.0,daycare (2 - 6 years),risk 1 (high),835-837 w sheridan rd ,chicago,il,60613.0,04/27/2010,license re-inspection,pass,41.95261657,-87.65104544,"(41.95261656822625, -87.65104543704516)"
52251,orange garden restaurant llc,orange garden restaurant llc,1942679.0,restaurant,risk 1 (high),1942 w irving park rd ,chicago,il,60613.0,04/28/2010,canvass,fail,41.95427602,-87.6780333,"(41.954276019666246, -87.6780332991192)"
52253,orange garden restaurant llc,orange garden restaurant llc,1942679.0,restaurant,risk 1 (high),1942 w irving park rd ,chicago,il,60613.0,05/05/2010,canvass re-inspection,pass,41.95427602,-87.6780333,"(41.954276019666246, -87.6780332991192)"
52254,red brick,red brick,1985321.0,restaurant,risk 1 (high),1938 w irving park rd ,chicago,il,60613.0,05/05/2010,canvass,pass,41.95427796,-87.67788273,"(41.95427796120616, -87.67788273287823)"
52255,red brick,red brick,1985322.0,restaurant,risk 3 (low),1938 irving park rd ,chicago,il,60613.0,05/05/2010,canvass,pass,41.95427796,-87.67788273,"(41.95427796120616, -87.67788273287823)"
52256,orange garden restaurant llc,orange garden restaurant llc,1942679.0,restaurant,risk 1 (high),1942 w irving park rd ,chicago,il,60613.0,05/11/2010,suspected food poisoning,fail,41.95427602,-87.6780333,"(41.954276019666246, -87.6780332991192)"
52257,passages  charter school,passages  charter school,66191.0,school,risk 1 (high),1643 w bryn mawr ave ,chicago,il,60660.0,05/12/2010,canvass,pass,41.98334408,-87.6711545,"(41.98334408255448, -87.67115450271945)"
52258,stockton,stockton,25501.0,school,risk 1 (high),4420 n beacon (1338w) ,chicago,il,60640.0,05/18/2010,canvass,fail,41.9623189,-87.66388983,"(41.96231889749382, -87.66388982980108)"
52259,kit kat lounge and restaurant,kit kat lounge and restaurant,1044305.0,restaurant,risk 1 (high),3700 n halsted st ,chicago,il,60613.0,05/18/2010,canvass,pass w/ conditions,41.94914734,-87.64968984,"(41.94914733742978, -87.64968983874849)"
52260,katerina's street of dreams,katerina's street of dreams,79417.0,restaurant,risk 1 (high),1920 w irving park rd ,chicago,il,60613.0,05/21/2010,canvass,pass,41.954286700000004,-87.67720518,"(41.954286695691366, -87.67720518471181)"
52261,oakwood '83,oakwood '83,6282.0,restaurant,risk 1 (high),1959 w montrose ave ,chicago,il,60613.0,05/24/2010,canvass re-inspection,pass,41.96135532,-87.67830516,"(41.96135532131147, -87.67830515937477)"
52262,stockton,stockton,25501.0,school,risk 1 (high),4420 n beacon (1338w) ,chicago,il,60640.0,05/26/2010,canvass re-inspection,pass,41.9623189,-87.66388983,"(41.96231889749382, -87.66388982980108)"
52263,cordis brothers supper club,the  piggery,1800521.0,restaurant,risk 1 (high),1625 w irving park rd ,chicago,il,60613.0,06/09/2010,canvass,pass w/ conditions,41.95416537,-87.67012784,"(41.954165368383535, -87.6701278424856)"
52264,young's restaurant,young's restaurant,1356070.0,restaurant,risk 1 (high),3949 n ashland ave ,chicago,il,60613.0,06/10/2010,complaint,pass w/ conditions,41.95387291,-87.66888934,"(41.953872905109016, -87.66888933788545)"
52265,filipino american council,filipino american council,39977.0,restaurant,risk 2 (medium),1332 w irving park rd ,chicago,il,60613.0,06/11/2010,complaint,pass,41.95447295,-87.66358644,"(41.95447294997719, -87.66358644372856)"
52266,filipino american council,rizal center(golden diner),2032636.0,golden diner,risk 1 (high),1332 w irving park rd ,chicago,il,60613.0,06/11/2010,canvass,pass,41.95447295,-87.66358644,"(41.95447294997719, -87.66358644372856)"
52267,sarpinos pizzeria,sarpinos pizzeria,1899258.0,restaurant,risk 2 (medium),1435 w montrose ave ,chicago,il,60613.0,06/24/2010,short form complaint,pass,41.96152004,-87.66634371,"(41.96152004287502, -87.66634370710501)"
52268,"chicago montessori, nfp","chicago montessori, nfp",1845360.0,daycare (2 - 6 years),risk 1 (high),1713 w cullom ave ,chicago,il,60613.0,06/30/2010,canvass re-inspection,pass,41.95962989,-87.67135903,"(41.959629887701624, -87.6713590303878)"
52269,holiday club,holiday club,1352227.0,restaurant,risk 1 (high),4000 n sheridan rd ,chicago,il,60613.0,06/30/2010,canvass,fail,41.95453269,-87.65469302,"(41.95453268893165, -87.65469302487033)"
52270,chicago's pizza,chicago's pizza,1336958.0,restaurant,risk 1 (high),1919-1921 w montrose ave ,chicago,il,60613.0,07/01/2010,canvass,pass,41.96137293,-87.67682523,"(41.961372932887095, -87.6768252331503)"
52271,dollop  coffee co.,dollop  coffee co.,1542300.0,restaurant,risk 2 (medium),4181 n clarendon ave ,chicago,il,60613.0,07/07/2010,canvass,pass w/ conditions,41.95794015,-87.64965206,"(41.95794014690388, -87.6496520597932)"
52272,holiday club,holiday club,1352227.0,restaurant,risk 1 (high),4000 n sheridan rd ,chicago,il,60613.0,07/08/2010,canvass re-inspection,pass,41.95453269,-87.65469302,"(41.95453268893165, -87.65469302487033)"
54212,dons pizza & grill,dons pizza & grill,1992130.0,restaurant,risk 1 (high),5915 w division st ,chicago,il,60651.0,01/05/2010,complaint,pass,41.90191359,-87.77363179,"(41.90191358699433, -87.77363179265902)"
54213,sunset liquors,sunset liquors,13541.0,grocery store,risk 3 (low),5921 w division st ,chicago,il,60651.0,01/05/2010,canvass,pass,41.90190966,-87.77390477,"(41.90190966343413, -87.77390476810488)"
54214,dunkin donuts / baskin robbins,dunkin donuts / baskin robbins,1649847.0,restaurant,risk 2 (medium),800 n kedzie ave ,chicago,il,60651.0,01/06/2010,canvass,pass w/ conditions,41.89561531,-87.70670533,"(41.89561531354531, -87.70670532510552)"
54215,j & j fish,j & j fish,1194275.0,restaurant,risk 2 (medium),800 n kedzie ave ,chicago,il,60651.0,01/06/2010,complaint,pass,41.89561531,-87.70670533,"(41.89561531354531, -87.70670532510552)"
54216,blue sharks,blue sharks,1974637.0,restaurant,risk 2 (medium),3450 w chicago ave ,chicago,il,60651.0,01/06/2010,complaint,pass w/ conditions,41.89559733,-87.71344867,"(41.89559733446603, -87.71344866525071)"
54217,barney's pizza,barney's pizza,1742764.0,restaurant,risk 1 (high),5648 w chicago ave ,chicago,il,60651.0,01/07/2010,complaint,fail,41.89493601,-87.76732423,"(41.89493600584935, -87.767324234848)"
54218,happy dog avenue,happy dog avenue,1819281.0,restaurant,risk 1 (high),5614 w chicago ave ,chicago,il,60651.0,01/07/2010,canvass,pass,41.89495336,-87.76606263,"(41.89495335826808, -87.76606262592395)"
54219,"monticello food mart, inc","monticello food mart, inc",2013259.0,grocery store,risk 2 (medium),1000 n monticello ave ,chicago,il,60651.0,01/08/2010,license re-inspection,pass,41.89918623,-87.71780427,"(41.89918622853627, -87.71780427165159)"
54220,abe's and tommie's carryout,abe's and tommie's carryout,2008833.0,restaurant,risk 2 (medium),5107 w chicago ave ,chicago,il,60651.0,01/11/2010,license,fail,41.8948497,-87.75348965,"(41.89484970491373, -87.75348965086528)"
54221,milton brunson elementary,milton brunson elementary,2034637.0,school,risk 1 (high),932 n central ave ,chicago,il,60651.0,01/11/2010,complaint,pass,41.89767761,-87.76564297,"(41.89767760687649, -87.76564296724962)"
54222,yo mamas pizza,yo mamas pizza,1938489.0,restaurant,risk 1 (high),633 n cicero ave ,chicago,il,60644.0,01/11/2010,complaint,fail,41.89231802,-87.74556872,"(41.89231802030073, -87.74556872149367)"
54223,subway,subway,1909605.0,restaurant,risk 1 (high),800 n kedzie ave ,chicago,il,60651.0,01/12/2010,canvass,pass,41.89561531,-87.70670533,"(41.89561531354531, -87.70670532510552)"
54224,beefee submarine inc,beefee submarine inc,60297.0,restaurant,risk 2 (medium),3357 w chicago ave ,chicago,il,60651.0,01/12/2010,canvass,pass,41.89539877,-87.71121631,"(41.89539877332381, -87.71121630512987)"
54225,little caesar pizza,little caesar pizza,1868353.0,restaurant,risk 2 (medium),800 n kedzie ave ,chicago,il,60651.0,01/12/2010,canvass,pass w/ conditions,41.89561531,-87.70670533,"(41.89561531354531, -87.70670532510552)"
54226,see thru chinese restaurant,see thru chinese restaurant,1227055.0,restaurant,risk 1 (high),800 n kedzie ave ,chicago,il,60651.0,01/12/2010,canvass,pass,41.89561531,-87.70670533,"(41.89561531354531, -87.70670532510552)"
54227,subway,subway,1986621.0,restaurant,risk 1 (high),5619 w division st ,chicago,il,60651.0,01/13/2010,canvass,pass,41.9020223,-87.76641277,"(41.90202229884521, -87.76641276925565)"
54228,captain hooks fish & chicken,firehouse steak and lemonade,1922193.0,restaurant,risk 2 (medium),5601 w division st ,chicago,il,60651.0,01/13/2010,canvass,fail,41.90203403,-87.76571211,"(41.902034028775596, -87.76571210902458)"
54229,al's food mart,al's food mart,1943229.0,grocery store,risk 2 (medium),5401 w augusta blvd ,chicago,il,60651.0,01/11/2010,complaint,fail,41.89842933,-87.76091120000001,"(41.89842933098916, -87.76091119548943)"
54230,al's food mart,al's food mart,1943229.0,grocery store,risk 2 (medium),5401 w augusta blvd ,chicago,il,60651.0,01/14/2010,complaint,pass,41.89842933,-87.76091120000001,"(41.89842933098916, -87.76091119548943)"
54231,new philadelphia c.o.g.i.c.,new philadelphia c.o.g.i.c.,1916655.0,grocery store,risk 3 (low),205 s cicero ave ,chicago,il,60644.0,01/20/2010,canvass,pass,41.87771536,-87.74503186,"(41.87771535716283, -87.74503186436795)"
54232,abe's and tommie's carryout,abe's and tommie's carryout,2008833.0,restaurant,risk 2 (medium),5107 w chicago ave ,chicago,il,60651.0,01/21/2010,license re-inspection,pass,41.8948497,-87.75348965,"(41.89484970491373, -87.75348965086528)"
54233,macy's gyros,macy's gyros,2014079.0,restaurant,risk 2 (medium),4201 w division st ,chicago,il,60651.0,01/22/2010,license,pass,41.90247921,-87.73134482,"(41.902479211319395, -87.73134481666703)"
54234,church's chicken # 577,church's chicken # 577,1273264.0,restaurant,risk 2 (medium),431 n austin blvd ,chicago,il,60644.0,01/22/2010,complaint,pass,41.88799311,-87.77476283,"(41.887993114472906, -87.77476283162106)"
54235,qorner foods,qorner foods,2013363.0,grocery store,risk 3 (low),5556 w harrison st ,chicago,il,60644.0,01/22/2010,license,fail,41.87294753,-87.76377219,"(41.87294753276929, -87.76377219082919)"
54236,"madison food mart, inc","madison food mart, inc",2014259.0,grocery store,risk 3 (low),5402 w madison st ,chicago,il,60644.0,01/25/2010,license,fail,41.88041576,-87.76027851,"(41.88041576281324, -87.76027851465174)"
54237,more for less,more for less,1948557.0,grocery store,risk 2 (medium),4851 w chicago ave ,chicago,il,60651.0,01/25/2010,complaint,pass,41.89487825,-87.74782979,"(41.89487824738007, -87.74782978563464)"
54238,swan's food & deli,swan's food & deli,1646850.0,grocery store,risk 2 (medium),1325 n central ave ,chicago,il,60651.0,01/26/2010,canvass,pass,41.90481036,-87.76560356,"(41.904810358201594, -87.7656035598987)"
54239,mcdonald's restaurant,mcdonald's restaurant,1193659.0,restaurant,risk 2 (medium),5015 w madison st ,chicago,il,60644.0,01/27/2010,canvass,fail,41.88031771,-87.75074636,"(41.88031771152733, -87.75074635547804)"
54240,burger king #12371,burger king #12371,1698081.0,restaurant,risk 2 (medium),3953 w chicago ave ,chicago,il,60651.0,02/01/2010,complaint,pass,41.89526095,-87.72574429,"(41.895260950237294, -87.72574429245381)"
54241,jimmy's sandwich shop,jimmy's sandwich shop,6294.0,restaurant,risk 2 (medium),4000 w grand ave ,chicago,il,60651.0,02/01/2010,complaint,pass,41.90625887,-87.72635348,"(41.90625887086, -87.72635347636164)"
54242,grand sub,grand sub,1095025.0,restaurant,risk 2 (medium),3952 w grand ave ,chicago,il,60651.0,02/01/2010,canvass,pass,41.90600597,-87.72572323,"(41.90600596637657, -87.72572322529149)"
54243,mcdonald's restaurant,mcdonald's restaurant,1193659.0,restaurant,risk 2 (medium),5015 w madison st ,chicago,il,60644.0,02/05/2010,canvass re-inspection,pass,41.88031771,-87.75074636,"(41.88031771152733, -87.75074635547804)"
54244,chi-town fried chicken,chi-town fried chicken,1899172.0,restaurant,risk 1 (high),4152 w chicago ave ,chicago,il,60651.0,02/16/2010,canvass,pass,41.89539165,-87.73068265,"(41.895391653756306, -87.73068265191282)"
54245,papa charlies,papa charlies,1675267.0,restaurant,risk 1 (high),1206 n central ave ,chicago,il,60651.0,02/16/2010,canvass,pass,41.90235982,-87.76580522,"(41.90235982307286, -87.76580522194598)"
54246,mr. philly,mr. philly,1649619.0,restaurant,risk 2 (medium),5254 w chicago ave ,chicago,il,60651.0,02/16/2010,complaint,fail,41.89502331,-87.75783481,"(41.89502331496054, -87.75783480830066)"
54247,depriest elementary,depriest elementary,26631.0,school,risk 1 (high),139 s parkside ave ,chicago,il,60644.0,02/17/2010,canvass,pass,41.87799914,-87.7662615,"(41.87799914080019, -87.76626149862986)"
54248,mr. philly,mr. philly,1649619.0,restaurant,risk 2 (medium),5254 w chicago ave ,chicago,il,60651.0,02/17/2010,complaint,fail,41.89502331,-87.75783481,"(41.89502331496054, -87.75783480830066)"
54249,sun  sumrine fast food,sun  sumrine fast food,1225837.0,restaurant,risk 2 (medium),321 n laramie ave ,chicago,il,60644.0,02/18/2010,complaint,fail,41.88633174,-87.75513777,"(41.88633173591688, -87.75513776619906)"
54250,rib place inc.,rib place,2017189.0,restaurant,risk 1 (high),5607 w corcoran pl ,chicago,il,60644.0,02/18/2010,license,fail,41.88710618,-87.76543552,"(41.887106177538534, -87.76543552121103)"
54251,mcnair,mcnair,26301.0,school,risk 1 (high),4820 w walton st. ,chicago,il,60651.0,02/22/2010,canvass,pass,41.8978464,-87.74674645,"(41.8978463968556, -87.74674644722602)"
54252,market fresh inc,market fresh inc,52593.0,grocery store,risk 2 (medium),800 n kedzie ave ,chicago,il,60651.0,02/22/2010,canvass,pass,41.89561531,-87.70670533,"(41.89561531354531, -87.70670532510552)"
54253,van-central food & liqs,van-central food & liqs,6023.0,grocery store,risk 3 (low),5575 w van buren st ,chicago,il,60644.0,02/25/2010,complaint,fail,41.87462048,-87.76450474,"(41.874620484855676, -87.76450473922907)"
54254,mr. philly,mr. philly,1649619.0,restaurant,risk 2 (medium),5254 w chicago ave ,chicago,il,60651.0,03/02/2010,complaint re-inspection,pass,41.89502331,-87.75783481,"(41.89502331496054, -87.75783480830066)"
54255,j & w jamaican jerk restaurant,j & w jamaican jerk restaurant,2021433.0,restaurant,risk 1 (high),13 n laramie ave ,chicago,il,60644.0,03/04/2010,license,pass,41.88078915,-87.75493376,"(41.880789153463404, -87.75493376202562)"
54256,see thru chinese kitchen,see thru chinese kitchen,1770322.0,restaurant,risk 1 (high),5656 w roosevelt rd ,chicago,il,60644.0,03/08/2010,complaint,pass,41.86567514,-87.76662585,"(41.86567514236451, -87.76662584667756)"
58225,whole foods market,whole foods market,1933690.0,grocery store,risk 1 (high),1550 n kingsbury st ,chicago,il,60642.0,01/05/2010,complaint,pass,41.90939879,-87.6530507,"(41.90939878780941, -87.65305069789407)"
58226,kikka- kingsbury,kikka- kingsbury,1968898.0,restaurant,risk 1 (high),1550 n kingsbury st ,chicago,il,60642.0,01/05/2010,canvass,pass,41.90939879,-87.6530507,"(41.90939878780941, -87.65305069789407)"
58227,dunkin donuts,dunkin donuts,2013341.0,restaurant,risk 2 (medium),2805 w division st ,chicago,il,60622.0,01/06/2010,license re-inspection,pass,41.90281333,-87.69712881,"(41.90281332978524, -87.69712881362462)"
58228,podhalanka restaurant,podhalanka restaurant,10559.0,restaurant,risk 1 (high),1549 w division st ,chicago,il,60642.0,01/06/2010,canvass,fail,41.90324287,-87.66706205,"(41.90324286545451, -87.66706204782344)"
58229,filter coffee lounge,filter,2013495.0,restaurant,risk 1 (high),1373 n milwaukee ave ,chicago,il,60622.0,01/06/2010,consultation,fail,41.90686821,-87.67174892,"(41.90686820755232, -87.67174891786233)"
58230,chicago cafe caterers,chicago cafe caterers,1932046.0,catering,risk 1 (high),1629 w grand ave ,chicago,il,60622.0,01/06/2010,canvass,pass,41.89085551,-87.66830290000001,"(41.89085551482435, -87.66830289784055)"
58231,delux bar & grill,delux bar & grill,1332477.0,restaurant,risk 1 (high),669 n milwaukee ave ,chicago,il,60642.0,01/06/2010,canvass,pass,41.893834399999996,-87.65146287,"(41.89383440427957, -87.6514628691263)"
58232,the dining room at kendall nfp,the dining room,1963511.0,restaurant,risk 1 (high),900 n north branch st ,chicago,il,60642.0,01/07/2010,canvass,pass,41.89896533,-87.64809026,"(41.89896533484934, -87.64809026360946)"
58233,subway,subway,28635.0,restaurant,risk 1 (high),1129 n western ave ,chicago,il,60622.0,01/08/2010,canvass,fail,41.90204391,-87.68685825,"(41.90204390855024, -87.68685824969803)"
